PRODUCT_ID,NUMBER_OF_SALES,PRODUCT_CATEGORY,TRANSACTION_DATE,DAYNAME,TRANSACTION_TIME,HOUR,REVENUE,STORE_LOCATION,TRANSACTION_DATE,TRANSACTION_TIME,DAY_CLASSIFICATION,MONTH_NAME,TIME_BUCKET
74,1,Bakery,1/7/2023,Sat,30:59.0,9,3.5,Hell's Kitchen,1/7/2023,30:59.0,WEEKDAY,Jan,"01,MORNING"
57,1,Tea,1/7/2023,Sat,42:52.0,9,3.1,Lower Manhattan,1/7/2023,42:52.0,WEEKDAY,Jan,"01,MORNING"
87,1,Coffee,1/5/2023,Thu,51:32.0,11,3,Lower Manhattan,1/5/2023,51:32.0,WEEKDAY,Jan,"01,MORNING"
33,1,Coffee,1/6/2023,Fri,18:22.0,17,7,Astoria,1/6/2023,18:22.0,WEEKDAY,Jan,"03,EVENING"
6,1,Coffee beans,1/8/2023,Sun,17:35.0,8,21,Lower Manhattan,1/8/2023,17:35.0,WEEKDAY,Jan,"01,MORNING"
45,1,Tea,1/8/2023,Sun,22:29.0,8,6,Lower Manhattan,1/8/2023,22:29.0,WEEKDAY,Jan,"01,MORNING"
49,1,Tea,1/8/2023,Sun,42:32.0,8,3,Astoria,1/8/2023,42:32.0,WEEKDAY,Jan,"01,MORNING"
37,2,Coffee,1/8/2023,Sun,27:09.0,9,6,Lower Manhattan,1/8/2023,27:09.0,WEEKDAY,Jan,"01,MORNING"
54,1,Tea,1/8/2023,Sun,44:12.0,10,5,Astoria,1/8/2023,44:12.0,WEEKDAY,Jan,"01,MORNING"
72,1,Bakery,1/8/2023,Sun,40:23.0,13,3.25,Lower Manhattan,1/8/2023,40:23.0,WEEKDAY,Jan,"02,AFTERNOON"
52,1,Tea,1/9/2023,Mon,33:08.0,7,5,Lower Manhattan,1/9/2023,33:08.0,WEEKDAY,Jan,"01,MORNING"
56,1,Tea,1/9/2023,Mon,23:46.0,8,5.1,Lower Manhattan,1/9/2023,23:46.0,WEEKDAY,Jan,"01,MORNING"
54,1,Tea,1/9/2023,Mon,52:23.0,9,2.5,Lower Manhattan,1/9/2023,52:23.0,WEEKDAY,Jan,"01,MORNING"
57,1,Tea,1/9/2023,Mon,44:47.0,12,6.2,Astoria,1/9/2023,44:47.0,WEEKDAY,Jan,"02,AFTERNOON"
60,1,Drinking Chocolate,1/9/2023,Mon,03:10.0,16,3.75,Hell's Kitchen,1/9/2023,03:10.0,WEEKDAY,Jan,"03,EVENING"
34,1,Coffee,1/9/2023,Mon,46:44.0,18,4.9,Astoria,1/9/2023,46:44.0,WEEKDAY,Jan,"03,EVENING"
79,1,Bakery,1/10/2023,Tue,07:48.0,11,3.75,Hell's Kitchen,1/10/2023,07:48.0,WEEKDAY,Jan,"01,MORNING"
54,1,Tea,1/10/2023,Tue,17:03.0,11,2.5,Hell's Kitchen,1/10/2023,17:03.0,WEEKDAY,Jan,"01,MORNING"
34,1,Coffee,1/10/2023,Tue,36:47.0,14,2.45,Astoria,1/10/2023,36:47.0,WEEKDAY,Jan,"02,AFTERNOON"
36,1,Coffee,1/10/2023,Tue,38:50.0,15,7.5,Lower Manhattan,1/10/2023,38:50.0,WEEKDAY,Jan,"02,AFTERNOON"
24,1,Coffee,1/11/2023,Wed,50:54.0,6,3,Lower Manhattan,1/11/2023,50:54.0,WEEKDAY,Jan,"01,MORNING"
36,1,Coffee,1/11/2023,Wed,11:50.0,10,7.5,Astoria,1/11/2023,11:50.0,WEEKDAY,Jan,"01,MORNING"
50,1,Tea,1/11/2023,Wed,53:09.0,13,2.5,Lower Manhattan,1/11/2023,53:09.0,WEEKDAY,Jan,"02,AFTERNOON"
33,1,Coffee,1/11/2023,Wed,26:27.0,17,3.5,Astoria,1/11/2023,26:27.0,WEEKDAY,Jan,"03,EVENING"
56,1,Tea,1/12/2023,Thu,44:00.0,6,5.1,Hell's Kitchen,1/12/2023,44:00.0,WEEKDAY,Jan,"01,MORNING"
26,1,Coffee,1/13/2023,Fri,57:07.0,8,3,Lower Manhattan,1/13/2023,57:07.0,WEEKDAY,Jan,"01,MORNING"
61,1,Drinking Chocolate,1/13/2023,Fri,47:02.0,17,4.75,Astoria,1/13/2023,47:02.0,WEEKDAY,Jan,"03,EVENING"
52,1,Tea,1/13/2023,Fri,53:32.0,19,5,Astoria,1/13/2023,53:32.0,WEEKDAY,Jan,"03,EVENING"
39,1,Coffee,1/14/2023,Sat,47:56.0,8,8.5,Hell's Kitchen,1/14/2023,47:56.0,WEEKDAY,Jan,"01,MORNING"
42,1,Tea,1/15/2023,Sun,12:17.0,7,2.5,Hell's Kitchen,1/15/2023,12:17.0,WEEKDAY,Jan,"01,MORNING"
11,1,Loose Tea,1/12/2023,Thu,16:09.0,7,8.95,Astoria,1/12/2023,16:09.0,WEEKDAY,Jan,"01,MORNING"
21,1,Packaged Chocolate,1/14/2023,Sat,46:34.0,8,13.33,Hell's Kitchen,1/14/2023,46:34.0,WEEKDAY,Jan,"01,MORNING"
41,1,Coffee,1/14/2023,Sat,21:53.0,10,4.25,Lower Manhattan,1/14/2023,21:53.0,WEEKDAY,Jan,"01,MORNING"
55,1,Tea,1/15/2023,Sun,02:19.0,10,4,Lower Manhattan,1/15/2023,02:19.0,WEEKDAY,Jan,"01,MORNING"
76,1,Bakery,1/15/2023,Sun,52:34.0,10,3.5,Astoria,1/15/2023,52:34.0,WEEKDAY,Jan,"01,MORNING"
63,1,Flavours,1/15/2023,Sun,37:27.0,13,1.6,Astoria,1/15/2023,37:27.0,WEEKDAY,Jan,"02,AFTERNOON"
44,1,Tea,1/15/2023,Sun,23:06.0,18,5,Lower Manhattan,1/15/2023,23:06.0,WEEKDAY,Jan,"03,EVENING"
43,1,Tea,1/16/2023,Mon,26:23.0,8,6,Astoria,1/16/2023,26:23.0,WEEKDAY,Jan,"01,MORNING"
63,1,Flavours,1/16/2023,Mon,59:00.0,8,0.8,Hell's Kitchen,1/16/2023,59:00.0,WEEKDAY,Jan,"01,MORNING"
63,1,Flavours,1/16/2023,Mon,37:05.0,10,1.6,Astoria,1/16/2023,37:05.0,WEEKDAY,Jan,"01,MORNING"
72,1,Bakery,1/16/2023,Mon,27:47.0,16,3.25,Hell's Kitchen,1/16/2023,27:47.0,WEEKDAY,Jan,"03,EVENING"
30,1,Coffee,1/16/2023,Mon,54:58.0,18,3,Astoria,1/16/2023,54:58.0,WEEKDAY,Jan,"03,EVENING"
45,1,Tea,1/17/2023,Tue,06:47.0,6,3,Lower Manhattan,1/17/2023,06:47.0,WEEKDAY,Jan,"01,MORNING"
50,1,Tea,1/17/2023,Tue,49:24.0,9,2.5,Astoria,1/17/2023,49:24.0,WEEKDAY,Jan,"01,MORNING"
50,1,Tea,1/17/2023,Tue,50:15.0,17,5,Astoria,1/17/2023,50:15.0,WEEKDAY,Jan,"03,EVENING"
60,1,Drinking Chocolate,1/18/2023,Wed,25:07.0,10,3.75,Astoria,1/18/2023,25:07.0,WEEKDAY,Jan,"01,MORNING"
74,1,Bakery,1/18/2023,Wed,12:35.0,11,3.5,Lower Manhattan,1/18/2023,12:35.0,WEEKDAY,Jan,"01,MORNING"
52,1,Tea,1/18/2023,Wed,28:42.0,14,5,Astoria,1/18/2023,28:42.0,WEEKDAY,Jan,"02,AFTERNOON"
30,1,Coffee,1/19/2023,Thu,57:48.0,7,3,Astoria,1/19/2023,57:48.0,WEEKDAY,Jan,"01,MORNING"
22,1,Coffee,1/19/2023,Thu,30:31.0,10,4,Hell's Kitchen,1/19/2023,30:31.0,WEEKDAY,Jan,"01,MORNING"
55,1,Tea,1/21/2023,Sat,26:33.0,12,4,Hell's Kitchen,1/21/2023,26:33.0,WEEKDAY,Jan,"02,AFTERNOON"
53,1,Tea,1/22/2023,Sun,25:09.0,9,9,Lower Manhattan,1/22/2023,25:09.0,WEEKDAY,Jan,"01,MORNING"
27,1,Coffee,1/22/2023,Sun,13:23.0,12,10.5,Lower Manhattan,1/22/2023,13:23.0,WEEKDAY,Jan,"02,AFTERNOON"
28,1,Coffee,1/22/2023,Sun,24:36.0,17,2,Lower Manhattan,1/22/2023,24:36.0,WEEKDAY,Jan,"03,EVENING"
59,1,Drinking Chocolate,1/24/2023,Tue,54:01.0,6,9,Hell's Kitchen,1/24/2023,54:01.0,WEEKDAY,Jan,"01,MORNING"
32,1,Coffee,1/24/2023,Tue,16:12.0,18,3,Astoria,1/24/2023,16:12.0,WEEKDAY,Jan,"03,EVENING"
46,1,Tea,1/26/2023,Thu,50:31.0,9,7.5,Lower Manhattan,1/26/2023,50:31.0,WEEKDAY,Jan,"01,MORNING"
24,1,Coffee,1/28/2023,Sat,02:03.0,8,3,Hell's Kitchen,1/28/2023,02:03.0,WEEKDAY,Jan,"01,MORNING"
38,1,Coffee,1/28/2023,Sat,18:27.0,8,3.75,Astoria,1/28/2023,18:27.0,WEEKDAY,Jan,"01,MORNING"
28,1,Coffee,1/28/2023,Sat,59:22.0,16,2,Hell's Kitchen,1/28/2023,59:22.0,WEEKDAY,Jan,"03,EVENING"
23,1,Coffee,2/1/2023,Wed,24:54.0,18,2.5,Hell's Kitchen,2/1/2023,24:54.0,WEEKDAY,Feb,"03,EVENING"
51,1,Tea,2/2/2023,Thu,19:05.0,18,3,Astoria,2/2/2023,19:05.0,WEEKDAY,Feb,"03,EVENING"
74,1,Bakery,2/3/2023,Fri,26:32.0,13,3.5,Astoria,2/3/2023,26:32.0,WEEKDAY,Feb,"02,AFTERNOON"
78,1,Bakery,2/10/2023,Fri,40:29.0,15,4.5,Hell's Kitchen,2/10/2023,40:29.0,WEEKDAY,Feb,"02,AFTERNOON"
43,1,Tea,1/3/2023,Tue,04:46.0,7,6,Lower Manhattan,1/3/2023,04:46.0,WEEKDAY,Jan,"01,MORNING"
34,1,Coffee,1/3/2023,Tue,55:15.0,15,2.45,Hell's Kitchen,1/3/2023,55:15.0,WEEKDAY,Jan,"02,AFTERNOON"
25,1,Coffee,1/3/2023,Tue,40:35.0,19,4.4,Hell's Kitchen,1/3/2023,40:35.0,WEEKDAY,Jan,"03,EVENING"
45,1,Tea,1/4/2023,Wed,58:49.0,13,6,Astoria,1/4/2023,58:49.0,WEEKDAY,Jan,"02,AFTERNOON"
27,1,Coffee,1/4/2023,Wed,36:44.0,17,7,Lower Manhattan,1/4/2023,36:44.0,WEEKDAY,Jan,"03,EVENING"
71,1,Bakery,1/6/2023,Fri,59:07.0,10,3.75,Hell's Kitchen,1/6/2023,59:07.0,WEEKDAY,Jan,"01,MORNING"
70,1,Bakery,1/6/2023,Fri,28:17.0,13,3.25,Hell's Kitchen,1/6/2023,28:17.0,WEEKDAY,Jan,"02,AFTERNOON"
61,1,Drinking Chocolate,1/6/2023,Fri,48:48.0,13,4.75,Astoria,1/6/2023,48:48.0,WEEKDAY,Jan,"02,AFTERNOON"
61,1,Drinking Chocolate,1/6/2023,Fri,25:48.0,15,4.75,Astoria,1/6/2023,25:48.0,WEEKDAY,Jan,"02,AFTERNOON"
29,1,Coffee,1/7/2023,Sat,56:03.0,8,2.5,Hell's Kitchen,1/7/2023,56:03.0,WEEKDAY,Jan,"01,MORNING"
47,1,Tea,1/7/2023,Sat,26:37.0,13,6,Hell's Kitchen,1/7/2023,26:37.0,WEEKDAY,Jan,"02,AFTERNOON"
46,1,Tea,1/7/2023,Sat,43:29.0,19,2.5,Hell's Kitchen,1/7/2023,43:29.0,WEEKDAY,Jan,"03,EVENING"
52,1,Tea,1/6/2023,Fri,42:21.0,16,2.5,Lower Manhattan,1/6/2023,42:21.0,WEEKDAY,Jan,"03,EVENING"
54,1,Tea,1/7/2023,Sat,37:21.0,7,5,Lower Manhattan,1/7/2023,37:21.0,WEEKDAY,Jan,"01,MORNING"
79,1,Bakery,1/7/2023,Sat,38:40.0,10,3.75,Hell's Kitchen,1/7/2023,38:40.0,WEEKDAY,Jan,"01,MORNING"
23,1,Coffee,1/8/2023,Sun,21:16.0,18,5,Lower Manhattan,1/8/2023,21:16.0,WEEKDAY,Jan,"03,EVENING"
38,1,Coffee,1/9/2023,Mon,39:51.0,8,3.75,Astoria,1/9/2023,39:51.0,WEEKDAY,Jan,"01,MORNING"
26,1,Coffee,1/9/2023,Mon,00:27.0,10,6,Astoria,1/9/2023,00:27.0,WEEKDAY,Jan,"01,MORNING"
71,1,Bakery,1/9/2023,Mon,32:13.0,10,3.75,Hell's Kitchen,1/9/2023,32:13.0,WEEKDAY,Jan,"01,MORNING"
59,1,Drinking Chocolate,1/9/2023,Mon,43:08.0,10,9,Lower Manhattan,1/9/2023,43:08.0,WEEKDAY,Jan,"01,MORNING"
32,1,Coffee,1/9/2023,Mon,12:50.0,11,3,Lower Manhattan,1/9/2023,12:50.0,WEEKDAY,Jan,"01,MORNING"
60,1,Drinking Chocolate,1/10/2023,Tue,19:29.0,8,3.75,Lower Manhattan,1/10/2023,19:29.0,WEEKDAY,Jan,"01,MORNING"
79,1,Bakery,1/10/2023,Tue,26:02.0,15,3.75,Lower Manhattan,1/10/2023,26:02.0,WEEKDAY,Jan,"02,AFTERNOON"
71,1,Bakery,1/11/2023,Wed,28:29.0,7,3.75,Hell's Kitchen,1/11/2023,28:29.0,WEEKDAY,Jan,"01,MORNING"
35,1,Coffee,1/11/2023,Wed,54:00.0,8,6.2,Hell's Kitchen,1/11/2023,54:00.0,WEEKDAY,Jan,"01,MORNING"
59,1,Drinking Chocolate,1/11/2023,Wed,49:37.0,10,4.5,Lower Manhattan,1/11/2023,49:37.0,WEEKDAY,Jan,"01,MORNING"
74,1,Bakery,1/12/2023,Thu,49:59.0,7,3.5,Astoria,1/12/2023,49:59.0,WEEKDAY,Jan,"01,MORNING"
75,1,Bakery,1/12/2023,Thu,14:52.0,9,3.5,Hell's Kitchen,1/12/2023,14:52.0,WEEKDAY,Jan,"01,MORNING"
25,1,Coffee,1/12/2023,Thu,58:18.0,10,2.2,Hell's Kitchen,1/12/2023,58:18.0,WEEKDAY,Jan,"01,MORNING"
23,1,Coffee,1/12/2023,Thu,42:53.0,11,2.5,Astoria,1/12/2023,42:53.0,WEEKDAY,Jan,"01,MORNING"
72,1,Bakery,1/12/2023,Thu,11:51.0,16,3.25,Lower Manhattan,1/12/2023,11:51.0,WEEKDAY,Jan,"03,EVENING"
26,1,Coffee,1/13/2023,Fri,20:31.0,8,3,Astoria,1/13/2023,20:31.0,WEEKDAY,Jan,"01,MORNING"
54,1,Tea,1/13/2023,Fri,35:27.0,8,5,Hell's Kitchen,1/13/2023,35:27.0,WEEKDAY,Jan,"01,MORNING"
60,1,Drinking Chocolate,1/13/2023,Fri,08:29.0,10,7.5,Hell's Kitchen,1/13/2023,08:29.0,WEEKDAY,Jan,"01,MORNING"
84,1,Flavours,1/13/2023,Fri,34:38.0,18,1.6,Astoria,1/13/2023,34:38.0,WEEKDAY,Jan,"03,EVENING"
64,1,Flavours,1/14/2023,Sat,15:43.0,9,1.6,Hell's Kitchen,1/14/2023,15:43.0,WEEKDAY,Jan,"01,MORNING"
51,1,Tea,1/14/2023,Sat,24:04.0,9,3,Lower Manhattan,1/14/2023,24:04.0,WEEKDAY,Jan,"01,MORNING"
70,1,Bakery,1/14/2023,Sat,57:50.0,17,3.25,Hell's Kitchen,1/14/2023,57:50.0,WEEKDAY,Jan,"03,EVENING"
57,1,Tea,1/9/2023,Mon,17:01.0,15,3.1,Hell's Kitchen,1/9/2023,17:01.0,WEEKDAY,Jan,"02,AFTERNOON"
63,1,Flavours,1/10/2023,Tue,20:52.0,7,1.6,Astoria,1/10/2023,20:52.0,WEEKDAY,Jan,"01,MORNING"
23,1,Coffee,1/10/2023,Tue,45:08.0,11,2.5,Astoria,1/10/2023,45:08.0,WEEKDAY,Jan,"01,MORNING"
55,1,Tea,1/11/2023,Wed,22:14.0,16,8,Astoria,1/11/2023,22:14.0,WEEKDAY,Jan,"03,EVENING"
34,1,Coffee,1/13/2023,Fri,26:54.0,7,2.45,Lower Manhattan,1/13/2023,26:54.0,WEEKDAY,Jan,"01,MORNING"
27,1,Coffee,1/13/2023,Fri,24:06.0,10,3.5,Lower Manhattan,1/13/2023,24:06.0,WEEKDAY,Jan,"01,MORNING"
69,1,Bakery,1/13/2023,Fri,20:56.0,15,3.25,Astoria,1/13/2023,20:56.0,WEEKDAY,Jan,"02,AFTERNOON"
59,1,Drinking Chocolate,1/14/2023,Sat,15:26.0,10,9,Hell's Kitchen,1/14/2023,15:26.0,WEEKDAY,Jan,"01,MORNING"
61,1,Drinking Chocolate,1/14/2023,Sat,04:26.0,11,4.75,Astoria,1/14/2023,04:26.0,WEEKDAY,Jan,"01,MORNING"
47,1,Tea,1/15/2023,Sun,31:17.0,7,6,Astoria,1/15/2023,31:17.0,WEEKDAY,Jan,"01,MORNING"
27,1,Coffee,1/15/2023,Sun,47:47.0,8,3.5,Lower Manhattan,1/15/2023,47:47.0,WEEKDAY,Jan,"01,MORNING"
22,1,Coffee,1/15/2023,Sun,16:37.0,9,4,Astoria,1/15/2023,16:37.0,WEEKDAY,Jan,"01,MORNING"
54,1,Tea,1/15/2023,Sun,34:45.0,10,5,Hell's Kitchen,1/15/2023,34:45.0,WEEKDAY,Jan,"01,MORNING"
22,1,Coffee,1/15/2023,Sun,51:21.0,11,4,Lower Manhattan,1/15/2023,51:21.0,WEEKDAY,Jan,"01,MORNING"
44,1,Tea,1/15/2023,Sun,19:35.0,14,5,Astoria,1/15/2023,19:35.0,WEEKDAY,Jan,"02,AFTERNOON"
50,1,Tea,1/15/2023,Sun,33:42.0,16,5,Lower Manhattan,1/15/2023,33:42.0,WEEKDAY,Jan,"03,EVENING"
1,1,Coffee beans,1/16/2023,Mon,47:40.0,6,18,Lower Manhattan,1/16/2023,47:40.0,WEEKDAY,Jan,"01,MORNING"
49,1,Tea,1/16/2023,Mon,31:48.0,7,3,Lower Manhattan,1/16/2023,31:48.0,WEEKDAY,Jan,"01,MORNING"
87,1,Coffee,1/16/2023,Mon,18:22.0,8,3,Lower Manhattan,1/16/2023,18:22.0,WEEKDAY,Jan,"01,MORNING"
31,1,Coffee,1/17/2023,Tue,21:00.0,11,2.2,Lower Manhattan,1/17/2023,21:00.0,WEEKDAY,Jan,"01,MORNING"
53,1,Tea,1/17/2023,Tue,56:32.0,11,3,Lower Manhattan,1/17/2023,56:32.0,WEEKDAY,Jan,"01,MORNING"
65,1,Flavours,1/17/2023,Tue,36:05.0,15,1.6,Lower Manhattan,1/17/2023,36:05.0,WEEKDAY,Jan,"02,AFTERNOON"
29,1,Coffee,1/18/2023,Wed,26:48.0,7,2.5,Astoria,1/18/2023,26:48.0,WEEKDAY,Jan,"01,MORNING"
65,1,Flavours,1/18/2023,Wed,51:52.0,7,1.6,Lower Manhattan,1/18/2023,51:52.0,WEEKDAY,Jan,"01,MORNING"
53,1,Tea,1/18/2023,Wed,01:19.0,8,3,Hell's Kitchen,1/18/2023,01:19.0,WEEKDAY,Jan,"01,MORNING"
42,1,Tea,1/18/2023,Wed,51:41.0,8,5,Lower Manhattan,1/18/2023,51:41.0,WEEKDAY,Jan,"01,MORNING"
39,1,Coffee,1/18/2023,Wed,12:30.0,9,4.25,Lower Manhattan,1/18/2023,12:30.0,WEEKDAY,Jan,"01,MORNING"
38,1,Coffee,1/18/2023,Wed,53:57.0,11,3.75,Hell's Kitchen,1/18/2023,53:57.0,WEEKDAY,Jan,"01,MORNING"
25,1,Coffee,1/18/2023,Wed,10:09.0,13,2.2,Lower Manhattan,1/18/2023,10:09.0,WEEKDAY,Jan,"02,AFTERNOON"
52,1,Tea,1/19/2023,Thu,49:57.0,7,5,Astoria,1/19/2023,49:57.0,WEEKDAY,Jan,"01,MORNING"
81,1,Branded,1/19/2023,Thu,57:48.0,7,28,Astoria,1/19/2023,57:48.0,WEEKDAY,Jan,"01,MORNING"
78,1,Bakery,1/19/2023,Thu,07:16.0,9,4.5,Hell's Kitchen,1/19/2023,07:16.0,WEEKDAY,Jan,"01,MORNING"
48,1,Tea,1/19/2023,Thu,03:23.0,10,2.5,Hell's Kitchen,1/19/2023,03:23.0,WEEKDAY,Jan,"01,MORNING"
35,1,Coffee,1/19/2023,Thu,51:25.0,12,6.2,Lower Manhattan,1/19/2023,51:25.0,WEEKDAY,Jan,"02,AFTERNOON"
1,1,Coffee beans,1/19/2023,Thu,18:36.0,15,18,Lower Manhattan,1/19/2023,18:36.0,WEEKDAY,Jan,"02,AFTERNOON"
53,1,Tea,1/20/2023,Fri,12:38.0,7,6,Lower Manhattan,1/20/2023,12:38.0,WEEKDAY,Jan,"01,MORNING"
49,1,Tea,1/20/2023,Fri,01:52.0,15,3,Astoria,1/20/2023,01:52.0,WEEKDAY,Jan,"02,AFTERNOON"
30,1,Coffee,1/20/2023,Fri,18:35.0,18,6,Lower Manhattan,1/20/2023,18:35.0,WEEKDAY,Jan,"03,EVENING"
38,1,Coffee,1/21/2023,Sat,01:19.0,9,11.25,Lower Manhattan,1/21/2023,01:19.0,WEEKDAY,Jan,"01,MORNING"
56,1,Tea,1/21/2023,Sat,22:24.0,10,5.1,Astoria,1/21/2023,22:24.0,WEEKDAY,Jan,"01,MORNING"
48,1,Tea,1/16/2023,Mon,41:44.0,19,2.5,Astoria,1/16/2023,41:44.0,WEEKDAY,Jan,"03,EVENING"
56,1,Tea,1/17/2023,Tue,13:56.0,8,5.1,Astoria,1/17/2023,13:56.0,WEEKDAY,Jan,"01,MORNING"
31,1,Coffee,1/19/2023,Thu,01:26.0,10,4.4,Astoria,1/19/2023,01:26.0,WEEKDAY,Jan,"01,MORNING"
29,1,Coffee,1/20/2023,Fri,32:48.0,7,2.5,Astoria,1/20/2023,32:48.0,WEEKDAY,Jan,"01,MORNING"
61,1,Drinking Chocolate,1/22/2023,Sun,21:16.0,13,9.5,Lower Manhattan,1/22/2023,21:16.0,WEEKDAY,Jan,"02,AFTERNOON"
33,1,Coffee,1/22/2023,Sun,24:37.0,15,3.5,Hell's Kitchen,1/22/2023,24:37.0,WEEKDAY,Jan,"02,AFTERNOON"
73,1,Bakery,1/22/2023,Sun,02:30.0,17,3.75,Lower Manhattan,1/22/2023,02:30.0,WEEKDAY,Jan,"03,EVENING"
50,1,Tea,1/22/2023,Sun,26:20.0,18,5,Hell's Kitchen,1/22/2023,26:20.0,WEEKDAY,Jan,"03,EVENING"
51,1,Tea,1/23/2023,Mon,10:29.0,12,3,Hell's Kitchen,1/23/2023,10:29.0,WEEKDAY,Jan,"02,AFTERNOON"
59,1,Drinking Chocolate,1/23/2023,Mon,26:47.0,12,9,Astoria,1/23/2023,26:47.0,WEEKDAY,Jan,"02,AFTERNOON"
28,1,Coffee,1/23/2023,Mon,36:51.0,16,2,Astoria,1/23/2023,36:51.0,WEEKDAY,Jan,"03,EVENING"
